Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Weekend Reservations,Weekday Reservations,Revenue
4,38,73.98,2224,23406,13,185,161.9249057,1.3,7,13,4,638945.52
3.2,76,28.11,4416,42741,8,533,148.7597174,2.6,3.4,48,6,490207.83
4.7,48,48.29,2796,37285,18,853,56.84918946,5.3,6.7,27,14,541368.62
4.4,34,51.55,1167,15214,13,82,205.4332653,4.6,2.8,9,17,404556.8
4.9,88,75.98,3639,40171,9,78,241.6815841,8.6,2.1,37,26,1491046.35
4.4,79,35.69,6787,75378,5,400,247.5444608,2,8.5,27,22,644220.9
4.9,49,35.3,2594,32587,11,106,206.159035,1.5,5.3,12,28,400348.65
4.1,61,73.65,3213,33429,14,377,135.3193124,1.8,4.6,56,23,1014153.65
4.2,37,73.75,3437,37102,18,494,55.65241712,7.1,9.4,27,24,635606.1
5,32,59.8,2569,28419,18,907,273.9448868,6.4,7.4,12,19,452920.65
4.3,48,59.25,2840,36487,16,520,157.2615546,6.7,7.1,16,45,656474.6
3.1,40,32.11,2792,34058,4,419,200.2938622,2.4,2.7,4,20,295333.14
4.4,77,35.6,8511,88420,19,741,98.6390188,5.6,2.9,46,39,645268.3
4.8,42,45.55,1968,22976,5,420,85.48892948,7.9,5.3,4,39,437468.35
4.6,59,63.22,3282,39922,2,988,71.7044282,7.2,6.9,18,1,836011.9
4.2,87,38.26,2460,27600,17,687,249.6913013,4.9,4.6,38,47,760413.88
4.3,61,47.7,1315,20612,4,685,211.6151783,1.9,1.6,30,48,651068
5,56,65.87,3994,42576,6,971,205.2898147,8.8,7.1,24,41,836123.03
3.2,60,55.73,2270,23723,18,421,279.8494369,5.7,8,50,45,767869.7
4.3,59,34.28,1940,20192,6,539,89.6780598,9,9.5,0,43,464653.52
3.6,72,33.91,2462,26536,15,302,92.56733795,4.9,4.7,37,10,561710.45
4.3,76,39.61,3444,40515,1,535,97.36728738,3.1,3.3,65,65,676879.89
4.2,53,64.15,1957,22672,17,920,155.8423576,3.8,9.3,40,46,779565.05
3.3,57,56,2348,26717,2,307,268.5554338,4.8,7.4,41,14,715699.85
3.4,77,28.9,6712,72937,4,488,270.3685315,6.5,1.6,16,25,511266.45
4.2,75,35.47,2035,24134,3,651,197.6469341,7.9,6.2,35,2,599518.34
3.3,82,37.69,1418,18874,3,67,214.5357245,3.2,1.3,51,17,687854.64
3.5,41,43.3,3124,37912,14,268,274.4405859,2.7,3,13,19,414143.9
4.7,32,53.33,2362,29777,8,561,206.0547389,2.8,1.6,16,23,392170.36
3.7,35,30.67,2749,29486,8,227,107.4499195,9.4,2.8,27,15,256525.49
4,68,47.24,3194,36724,9,258,226.2285171,2.5,5.4,5,9,724252.64
4.9,40,70.4,2029,27413,18,862,242.4726935,4.1,3.7,8,21,646783.75
3.5,53,59.05,2351,31725,7,576,208.8361558,5.4,1.8,10,19,703970.55
3.8,64,39.52,3799,44954,10,284,118.3923659,6,5.3,7,48,580250.12
4.2,31,38.6,956,14320,1,184,149.9794624,8.7,7.4,14,15,274742.8
4.5,64,55.16,4028,40754,4,258,167.6481019,2,1.5,51,9,790777.86
4.8,46,42.27,3810,44176,4,260,86.32460454,2,8.9,22,25,445708.47
4.8,31,35,4536,51384,14,716,163.0558136,3.8,6.9,5,16,268505.2
4.6,76,35.69,3560,41693,5,601,90.29935583,4.7,5.7,38,11,614599.82
3.5,45,59.49,2143,21600,5,322,174.862936,4.4,4.6,10,6,601664.29
3,74,39.25,2397,29088,19,209,62.70268964,4.5,4.5,4,60,667565.4
3.8,45,26.59,3754,44524,5,193,287.132873,8.7,4,30,32,283286.23
3.3,48,61.1,2520,28671,11,752,111.5862161,8.5,2,15,43,668794.55
4.4,71,42.46,6923,75267,2,557,166.7535775,8.2,1.7,29,61,686243.79
4.3,84,32.52,3365,37755,15,783,58.18804413,7.8,3.8,24,17,628872.49
3.1,33,70.64,1576,20621,14,383,98.18038055,1.4,7,11,10,534359.77
4.7,51,55.03,2420,26703,14,551,223.311248,2.3,3.6,2,11,638362.61
3.5,79,40.63,4396,52183,8,493,77.95015078,7.6,8.3,52,31,732451.07
3.9,54,66.73,1668,19396,8,803,207.0372902,6.4,4.4,3,35,810162.52
4.3,67,31.91,2715,31583,5,922,50.51722286,7.1,6.7,49,35,490291.52
3.9,53,41.51,2028,23259,5,899,166.2523314,7.5,4.9,47,9,501334.08
3.9,70,65.3,2139,28365,14,135,230.3359102,9.2,5.5,14,40,1030821.95
3.1,67,36,2063,27503,5,229,281.5732157,6.7,3.3,31,2,544343.65
3.8,89,56.72,6601,71072,9,129,173.209044,3.5,5.6,84,47,1140222.94
4.5,55,31.5,976,17078,11,866,260.1331174,1.7,2,1,47,397829.4
4.8,49,67.85,1092,14277,17,610,250.6478387,4.9,4.5,45,48,759680.25
3.8,49,35,3448,40630,12,203,123.9426943,7.4,5,47,38,404369.5
3.8,83,59.09,1578,16962,12,228,268.683406,3.5,7.3,66,75,1103481.72
4.4,39,64.8,2632,31401,16,348,210.070745,2.1,4.6,24,15,581548.05
4.9,47,36.73,2117,21300,1,375,76.04616202,10,7,26,28,394535.81
3.5,58,74.64,3294,37894,18,804,284.7781991,4.8,2.6,26,48,983744.34
3.9,81,35.8,3917,39953,6,888,94.16918538,2.9,1.2,8,64,655332.95
4.6,59,30.99,1633,21961,5,58,167.5902368,2.5,5.6,35,27,415056.72
4.2,70,50.1,1693,25006,18,477,166.5913464,8.8,5.3,10,44,800532.2
3.2,68,74.04,701,9386,13,241,206.3091558,8.4,7,38,59,1132488.36
4.3,55,47.14,1715,25940,6,139,216.2391914,6.5,3.8,6,53,585880.06
3.4,63,36,1737,20253,7,51,108.2269574,5.9,1.3,12,39,512848.15
4,57,33.62,3076,34682,3,469,138.1106221,9.6,7.5,6,25,439556.78
4.1,63,39.28,1666,17128,11,52,86.14755116,3.1,9.5,41,21,565140.92
4.8,80,68.37,1999,22056,8,999,81.50393351,4.7,4.5,46,24,1221327.6
3.9,45,31.49,2413,23681,4,454,256.2668388,1.2,6.5,42,23,325942.35
3.6,69,37.76,1825,18960,10,541,237.6803351,4.8,5.9,5,6,591124.22
3.5,55,32.51,1000,11598,9,756,160.6708717,4.5,6.1,3,20,410222.58
4.7,64,59.25,1986,22315,13,314,73.97732096,9.5,8.8,42,0,859809.25
3.3,64,36.96,998,15828,19,829,162.4804358,4.2,7.6,24,59,549945.44
3.9,63,60.9,2279,25738,15,292,123.6139234,8.5,7.9,19,1,869944.7
3.4,70,51.04,1834,17917,5,726,244.4798051,7.9,1.8,24,16,799433.65
4.5,41,37.73,2419,31439,13,774,74.15983361,2.3,2.3,36,27,363203.11
3.9,31,50.74,3498,43114,12,982,162.8421384,9.7,7,8,15,375357.58
3.7,57,30.26,2634,27596,9,409,197.8467609,6.7,5.9,40,52,401968.3
3.7,48,59.75,2156,27054,8,244,296.4313133,6.4,8,43,18,652011.45
4.7,83,61.3,6348,72995,9,548,72.4020328,1.1,1.8,82,46,1146814.25
4.1,54,37,3050,37196,13,617,78.49011804,7.3,6.1,11,13,465818.8
4.4,78,32.82,5259,54074,9,666,297.0122901,1.5,5.4,34,55,587926.42
4.8,82,27.41,2540,27671,6,262,151.4062886,2.7,8.7,67,28,512250.28
4.8,58,25.78,1725,21828,6,880,235.9285768,1.9,2.7,55,1,342640.14
3.7,43,38.83,796,9045,11,203,245.8688456,4.4,4.1,18,10,384051.6
4.9,74,40.77,8060,88657,10,777,128.6398523,8.2,2.4,49,31,697357.07
3,51,38.89,2911,36596,14,95,103.5750517,7.4,5.1,43,46,464459.92
3.8,76,35.07,6004,59758,6,230,119.0228,2,8.9,5,34,608976.71
4.8,85,52.18,8349,88037,7,621,241.0983563,8.2,7,30,42,1007855.01
3.5,80,42.13,3278,41075,9,805,260.1198628,5.1,7.7,72,72,768165.07
3.5,80,40.45,1919,23426,3,275,224.8762343,1.3,1.8,47,33,721069.8
3.6,41,34.43,3557,39751,12,81,160.3068924,3,5.1,25,8,333818.21
4.2,82,38.73,2709,27371,16,396,115.6408642,8.1,8.5,5,63,728671.03
3.9,77,40.47,7011,77577,13,495,156.3122606,7.6,8.5,36,46,722199.5
4.5,85,37.54,6809,75456,6,224,278.6316549,2.7,9.9,20,8,726592.52
4.8,50,51.79,1062,18043,13,878,265.7988854,1.3,5.7,41,2,590078.62
4.3,70,54.76,2549,31340,5,655,130.8440519,3.7,1,51,44,858723.5
3.4,82,51.87,5039,58390,4,949,131.985204,8.2,9.1,66,20,960968.28
4.9,40,55.75,2769,29693,8,179,244.9935124,9.4,9.6,24,33,515043.9
3.5,33,66.1,1180,15935,3,712,156.6435131,6.2,9.3,20,27,495552.15
3.3,33,39.83,1280,17016,2,872,193.1807021,1.8,7.9,10,32,300889.07
3.2,84,65.75,1479,21198,19,346,155.5794351,5.5,2.9,26,39,1240981.15
4.1,32,39.18,2990,29432,7,301,110.584705,10,2.3,27,17,296005.96
3.2,48,73.14,2936,31610,12,501,97.21344221,9.4,7.3,3,4,796696.16
3.3,90,45.33,3122,29756,4,470,84.88542986,9.9,2.3,40,45,914518.15
3.6,31,72.64,1175,10656,10,700,52.85569511,7.3,9.6,20,19,518131.22
3.6,75,35.28,4869,53171,9,981,120.1541142,4.8,5,47,45,608543.81
4.2,57,29.21,1342,12643,12,533,92.85214758,9,1.3,25,40,387388.23
4.6,46,35.23,2253,27549,11,832,114.4876067,9.1,2.4,20,30,379839.47
4.5,54,35.31,4213,50835,19,406,68.95100237,2.3,3.6,38,41,451988.8
3.5,71,64.81,1690,16080,2,884,135.3898407,8,7.3,67,52,1030200.08
3.5,41,62.95,2944,29455,6,673,179.9896474,9.3,7.6,36,32,591193.4
4.9,74,26.17,3471,35561,6,207,286.1428537,9.1,2.9,48,21,445315.3
3,59,45.6,1063,14037,1,618,136.7679909,7.4,6.8,54,57,605891.55
